,number,phone_no_m,busi_count_1908,busi_count_1909,busi_count_1910,busi_count_1911,busi_count_1912,busi_count_2001,busi_count_2002,busi_count_2003,busi_nunique_1908,busi_nunique_1909,busi_nunique_1910,busi_nunique_1911,busi_nunique_1912,busi_nunique_2001,busi_nunique_2002,busi_nunique_2003,flow_1908,flow_1909,flow_1910,flow_1911,flow_1912,flow_2001,flow_2002,flow_2003,label
12,12,1de2d338adcd6a255a17141ba1c663fbc8071f2ed756a248d6f1d77f44f6d841a68cae430cf13f09bc447e97416b9cee313fe305742d0913a912da426593108c,98.0,,,,,,,23.0,90.0,,,,,,,23.0,1422.105224609375,,,,,,,3.610230445861816,0
13,13,b16920c8dfc8a0e1349db12d2d3285f77e31c6a6d3ed2a68725f41e628c0f98d5ce55bb71ca33e3bc52acbfaf946cd2bdae06142413dece51698d1a3444d2935,,,,,38.0,138.0,55.0,72.0,,,,,38.0,129.0,52.0,71.0,,,,,73.30449867248535,3721.875744819641,309.78935146331787,643.6060314178467,0
14,14,7edc0ed9e4afb9648b18ae4517516ed1c641103c2f83dd3d4d75f56c9c01bd0e46bf26962bc343453579d1a858a4471ab7b864a81f33b0edb1cd558c34f79205,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.1002483367919921,0.0927333831787109,0.0733938217163085,0.0645685195922851,0.1145849227905272,0.042591094970703,0.0127487182617187,0.0397977828979491,0
15,15,73e9ee7e186d0483f568bc1227cfc407fb5548a441dc1943841c723faded61e1f9522da24287b565e1472002308fb8f0db9c5bfa67f4e1e0b48210c3da018629,135.0,189.0,183.0,198.0,163.0,124.0,,,130.0,184.0,181.0,194.0,154.0,109.0,,,4055.975086212158,18682.7494764328,14159.812132835388,11326.647554397585,4062.61242389679,2063.8758459091187,,,1
16,16,afb879635550e8c192c9507e5481faa3e32b440a1809eb98dd6940ec675a5098225f834d1d08262ee0a00b3bf97b8b75fb620eb0c136228b3e3405173fe43fa1,47.0,26.0,,,27.0,,2.0,2.0,47.0,26.0,,,27.0,,2.0,2.0,29.17524242401123,44.57108974456787,,,11.846246719360352,,3.863767623901367,3.2238283157348637,0
17,17,d374d619082ea422e8e99bb417beb4e860e49c3628bde9efccf8246dc977a010fce803d5c351dea47392f94d770f11c4ec40c34459f553ac161b78d7304fb1b2,1.0,1.0,22.0,0.0,16.0,1.0,0.0,1.0,1.0,1.0,22.0,0.0,16.0,1.0,0.0,1.0,0.0280656814575193,0.1479635238647461,28.35274982452393,0.0275125503540038,12.782061576843262,0.5052480697631835,0.0045700073242187,5.842262268066407,0
18,18,9f5a6e330a5a45c879f6f6065d9a2e73d0053c425cd5b2b9ee0ac292ec40aef23e29b2d7f01207e44eceb0db0d4feb00559c67a7673637bfb5f7d9d49f9cbe4a,224.0,235.0,137.0,139.0,243.0,213.0,154.0,84.0,207.0,213.0,131.0,139.0,239.0,212.0,150.0,81.0,5410.51242351532,10523.051341056822,3035.9931783676147,1379.0051755905151,8302.774264335632,12678.983548164368,1945.545365333557,123.67791843414308,1
19,19,6988a9ed8a63aa4b3c6945f625e3f9d0be3a376585d3e2f4e05c28e01a387161be31cd54d38e269780bf4b633ecc64f505cce2db6fb32a1a2bcb3d1943ab3897,91.0,172.0,110.0,,,102.0,185.0,,78.0,149.0,92.0,,,87.0,160.0,,2242.859130859375,11157.857937812803,6204.387584686279,,,3016.4992113113403,26674.52133655548,,0
20,20,c32f698c84a8ad2964b8b76c526d6c08ec5db44ff1d2e4394e19bb292f45aeaa216e006a3bafba99f86b7c69058d6c45d8cc7588ff5244bf149fa8bf4e5f1b77,,27.0,,3.0,,,,,,27.0,,3.0,,,,,,9.414396286010742,,0.0463724136352537,,,,,1
21,21,8b9179c987165956a6221eaf4c738182f59a07a13ccf4b3957e1ef2f5633ac1325efa9aeb94a1fa1d6e87ba854e13f994a15af06f8698d8f2a8b0adb1df4f53c,,,,,,,,,,,,,,,,,,,,,,,,,1
22,22,168aa25a3c9d315165077fe4ce43cf809416bc7d075c34513c7c03d1356f6d9dd54103ed93ce05ebae0de6bff237e1ec945d250aa17823ed828e890e2ce615e1,,374.0,395.0,348.0,329.0,192.0,,,,374.0,391.0,348.0,329.0,192.0,,,,33577.291977882385,42770.52070903778,35896.76917552948,39747.30331611633,18712.94162940979,,,0
23,23,5f16fe8f53b70292de45477651ae40457d9e251b2812b934a44ac6e75786442078bbc5e521ee9d2c4589b21ab0c0e75e123f36b794d5f17e65fb6841a4eb7fb5,45.0,103.0,19.0,82.0,120.0,163.0,115.0,111.0,45.0,103.0,19.0,82.0,120.0,156.0,109.0,109.0,27.338309288024902,16775.032380104065,2.648238182067871,1370.604878425598,27216.86370372772,22913.50631904602,2143.001263618469,3369.576913833618,0
24,24,becad33ef685aa51b1c6ead188193059f7bb2008c074fc77fc8619355e0bfff502b64569c660d78bf0ca4c4d843b1b68b8275a64856fd983ed47d741225a83bd,,,,,,,1.0,82.0,,,,,,,1.0,82.0,,,,,,,0.0145168304443359,1820.222728729248,0
25,25,928df9be4c3e7304c83736a39aa81fa9fe3a1c76e01710e6581b0277ebced37390ce2472560921e7d62b2289eba6fb14eaaf9eff1a095dbcc2e872db6826650e,,,29.0,,,,,1.0,,,29.0,,,,,1.0,,,98.28761577606204,,,,,0.0117683410644531,1
26,26,51fe5bf2476c2fc6903fc45bcec063ec8a16adda2b738dd620f062287d91b234abbbf3e68e01e9c63de97bd38bbf041a5571dbac501834012d4d529c6560d86a,22.0,8.0,21.0,4.0,28.0,30.0,5.0,18.0,22.0,7.0,18.0,4.0,25.0,26.0,5.0,15.0,2.721850395202636,0.6398420333862299,3.530067443847656,1.2601404190063477,9.371467590332031,6.747644424438477,0.1200475692749021,3.556382179260255,0
27,27,a7aa19e6e8ea1ccf49dae947a55a85d3001fb347ecb79588fa54410402e2660423fd7f28b14303110f2051e36d84943029d4178899ad53df185b6e8121c98956,1.0,50.0,23.0,2.0,2.0,21.0,1.0,16.0,1.0,49.0,19.0,1.0,2.0,21.0,1.0,15.0,5.251152992248535,109.71766567230225,6.453808784484863,3.820758819580078,5.069280624389648,62.957855224609375,0.577855110168457,5.448262214660646,0
28,28,433bbcfb740f49bbe2392c84158445bd7648367d8ad05180cd55f8236dadf9c80ac7f27f037fc88507d00abad2604c60ef761566e6035c8f24ef4972fff2211f,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0419807434082031,0.0411720275878906,0.0445270538330078,0.0449352264404296,0.0423526763916015,0.0612754821777342,0.0229110717773437,0.0670223236083984,0
29,29,0dfe7b8fe532ae4b85f64ef11aa478e2abae8d0c92d8118f0169c43600dc7d6af517139f1b8c5305ad5ba7b14d03812a910962649881d3be1af39434f350f6eb,,,,17.0,,,,,,,,17.0,,,,,,,,123.54922580718996,,,,,1
30,30,0708b0ebd50a7eefd2040b84c4a20c10531d088bdc8eef5f8a59af927217c68232b6b98670250927610fb56e3f3e91f25f07bfb4b8b00e52788766eda944e03e,176.0,176.0,162.0,188.0,151.0,176.0,126.0,98.0,163.0,164.0,154.0,169.0,131.0,157.0,111.0,87.0,17938.69773197174,26407.543763160706,31207.938395500183,25738.878336906437,30621.476249694824,19817.512811660767,10175.816911697388,1332.5001182556152,0
31,31,327135277270d460b7664eb975452b646630adda11cc27ce0804a7ce8b513ed6f7853a9c8c4273b319794b95413ebab24ba494055a4e6bdc75ba82cd109e6436,225.0,201.0,253.0,231.0,231.0,253.0,194.0,121.0,225.0,200.0,253.0,231.0,231.0,247.0,194.0,121.0,22735.127337455757,19680.70600795746,19565.40769767761,15225.908203125,23898.176107406616,30835.819147109985,14632.29961681366,6297.926609992981,0
32,32,bdfc6bac42ddb200415f38f5b53401fc3ea134f0ec5cfe67fc2e6c23f13fd7795cc800b8fba90cc7c06a458c5afe2d578a76dbd4168b00e5472f854d66bed284,,,0.0,1.0,,1.0,,1.0,,,0.0,1.0,,1.0,,1.0,,,0.0103836059570312,0.0157203674316406,,0.0308341979980467,,0.0237636566162109,0
33,33,337adca02abb4e2b17d9706912658a9b1d782099d3f85ccb917082c0eaed84de4edb025f53aa2ef8417f178a569ac2e9ee9ce8658f7365dee998041f9e14cc7c,,,,,107.0,148.0,138.0,177.0,,,,,99.0,138.0,125.0,167.0,,,,,4575.9952030181885,19607.40501022339,15414.383527755735,16862.239751815796,0
34,34,f844226258c3cfa19969797e3e183a4cc15c29a17eab96bfd1f2e87e383eeda8b560dbf582fd304a73e7eadede7ec762eb264aa6df42080376d348bdfaeac934,,,,15.0,,40.0,,,,,,15.0,,40.0,,,,,,1.2813425064086912,,9.678128242492676,,,1
35,35,c8e86aa23e02cbecfd5fe9187f7a25c3e7f9d662a429ed17bcd5db1cbce7fddac6922964415a96e14cc10fbaadf539a5b8605bbd9b687ff06cb797e50a9436d2,,,21.0,,,,,,,,21.0,,,,,,,,157.63122749328616,,,,,,1
36,36,9c3bfd848bfb72073cc7df767c29685d96aa3c8ffb456cf7b2efa129620ac95ed46a3da487c6f67c6a84b8b7ac25c1e440affc941a173c926a9c94573769fd14,74.0,92.0,102.0,104.0,102.0,98.0,56.0,107.0,74.0,92.0,102.0,104.0,102.0,90.0,56.0,96.0,507.1959590911865,923.7544679641724,1555.0090465545654,2973.2284116744995,5649.476143836975,2764.8341875076294,508.1944808959961,2581.400968551636,0
37,37,2303b7c370a7a60d5f0e113dd0fa15b16d2acd01f9aab092151d4ba158a14e87fdeb7bee2ef7f0e64388d3ec013ba807493489584d1b4b37b664a5cb83df0ffb,337.0,300.0,346.0,268.0,205.0,134.0,179.0,260.0,322.0,296.0,341.0,268.0,205.0,134.0,179.0,254.0,39375.47094345093,44356.165100097656,43962.34352207184,18870.281745910645,14274.29148197174,1674.5929899215698,12089.009593009949,36767.9191236496,1
38,38,09bf4bae88366e9cef06567ee5d5ef62ebc59da995bce77e5bdc381c2c4d4cf804bfff26641c034e3b965a13988f2f566110fcbd9149558819ff16dc2fc07908,144.0,140.0,121.0,105.0,114.0,173.0,155.0,149.0,136.0,135.0,119.0,105.0,114.0,166.0,153.0,129.0,1761.77206325531,1566.8452806472778,4401.055424690247,3134.6499624252324,6810.0364084243765,10401.336049079897,8033.777459144592,5569.441067695618,0
39,39,65cffa7e3a8bf03ef12e5a1b6a97b9e6c685c7fa417e38931e92218736d38e82ae18019c8522afe44e4794d979096429fe5c73d32167e76d592230ac577784ea,168.0,216.0,135.0,140.0,122.0,157.0,141.0,181.0,161.0,168.0,135.0,132.0,115.0,144.0,132.0,169.0,17456.01488685608,11936.15585422516,7162.66160774231,7881.664719581604,2000.460181236267,7859.01124382019,3522.30966091156,6526.081972122192,0
40,40,6483e27cf219ce1ad8c8877471b79cbf76ac8cc92f1743629d51c9856ec06881e703a12645e36a151a063510fce895594cd85a69bb175698f6f961ef6b3d2b05,243.0,205.0,248.0,239.0,264.0,291.0,221.0,222.0,220.0,190.0,232.0,218.0,238.0,266.0,212.0,204.0,13805.752668380735,9401.912267684938,7777.787772178651,10473.725043296814,12883.966881752014,13248.776630401611,5678.813691139221,5141.409418106079,0
41,41,5bad86c505fa1165d8863be830c743570bf2cd6dbf4a5941f1bfc1850205c0906d519b3c18c2fc13247d851d3ed255b70aa9ef366f0c73f4f457d0b700e2d072,,,,,,,,,,,,,,,,,,,,,,,,,1
42,42,10eeaa0f0c193824abaf0269ebcf3eaffcc1b83657715325cfbe9ceae27e839779d57eb41e7d0116ba4973144b20dbc0928687b37bb96931a9756142dc63afd1,88.0,84.0,37.0,73.0,110.0,86.0,79.0,84.0,86.0,82.0,37.0,73.0,104.0,86.0,78.0,84.0,1878.021966934204,2985.065818786621,189.998480796814,2803.8462705612183,3845.45756149292,1708.1203565597532,2107.9815073013306,1759.7659549713132,0
43,43,b14d9ddf92d9ce73bcd974a58e0efecd2012bfe87f8836a9241c4143bd650e657505007735f099a3fe0965ef282854263695acc8f1e66a5586dbf0334c6f5d1a,,,,,,,,,,,,,,,,,,,,,,,,,0
44,44,04f29ed2cb3114ab3315155040b1ad0d76566b59c14fdccba1d275daf6f7b5c873ceb926bd0d401cc0b9c678ff56b6628d6c61af1c8ad65bc66f2288b61549eb,2.0,1.0,3.0,12.0,48.0,5.0,1.0,3.0,2.0,1.0,3.0,12.0,42.0,5.0,1.0,3.0,0.0202770233154295,0.0219402313232421,0.4550743103027341,16.96227741241455,40.157259941101074,0.8636226654052733,1.5327711105346682,1.8443241119384768,0
45,45,4a50a082ead1c5691e8c44b2a74a59042798c616d2c8987e265dce1052f0a2f362dd863e755ee495ff92235b593e88d7eabab0b9ebfde1db765275666ad13d6c,158.0,65.0,131.0,156.0,161.0,149.0,193.0,146.0,146.0,61.0,121.0,137.0,144.0,129.0,177.0,138.0,3141.960139274597,219.45224952697757,2203.3599491119385,3660.464903831482,2822.015853881836,2883.851252555847,14825.49960899353,4804.5433168411255,0
46,46,da99c3ade3eb00815a7654acc8e03329d75973ac5e2064e36adc45322b4064d5f7f01aedc2aaeff1288a6f7db04ad890f96bdd8346c3e0a8f41711a4077018f0,,,,8.0,,,,,,,,8.0,,,,,,,,2.3140211105346684,,,,,1
47,47,95ca76270ec248574d2d0669bc0fce822762186d051f3a58d8312f950742c3642fbb87619a3dd95c1f6b4a13e5e3c848ee4ee307c55bafb37635d8abffcaf09b,,,,,,,,37.0,,,,,,,,37.0,,,,,,,,36.85813045501708,1
48,48,241be67e13e2ac318e7080f87345ced8bd7b371f88f648e1fb16eeb0d0727903699b47cea6810b99d7af3abef195b32275d03eaf6749e4fcfa0f180a050f624c,163.0,174.0,145.0,149.0,144.0,142.0,137.0,132.0,163.0,171.0,145.0,145.0,141.0,128.0,128.0,118.0,6357.436120033264,4599.084641456604,3016.388829231262,4339.3128480911255,3820.672073364258,3840.6192960739136,4409.698935508728,3219.351906776428,0
49,49,414846c4b6d9de93a20181adc38bdd28ac890e7e5f67e106b8d3609ab447ad6b5144e570f5dfa0d0a271ec2852c29a7c9daad47fe605fef7957feecfe2d30a44,,96.0,143.0,155.0,124.0,114.0,80.0,136.0,,95.0,137.0,152.0,123.0,110.0,78.0,132.0,,698.7617864608765,3235.843954086304,5162.652443885803,6977.645516395569,3244.8078680038448,1605.2527465820312,8618.172114372253,0
50,50,362a7f337d324bb024018733b1d4a3462129aa08459661ba9d665f1c30fdab6ed11f5febd1dd5c8d8067b952cb3d27a998a26cbae09769104a7efff1a1aacfe1,207.0,225.0,155.0,166.0,172.0,165.0,124.0,129.0,200.0,214.0,155.0,166.0,172.0,156.0,123.0,125.0,7888.466797828674,9391.184597969055,3286.0389909744263,4357.539056777954,7036.466372489929,4969.345829963684,2673.3274717330933,4052.761709213257,0
51,51,4a692ea1b3346b6168d945ed42630a7319d1536f8cedb467f0d70fc187662c2c5a739f143c314af3e9bc373a0d02344e64d297ccfd1d41f3cd6f7fcb6d0e4428,,,,,,2.0,,,,,,,,2.0,,,,,,,,0.0025949478149412,,,1
52,52,c2738cec3205dfcf3850bbf94cc975eb6cc35c0518943b17c7b96158f810a211195917f5ed780cf7ffa74bb650f2e62c1b3608732e8898d12ec569241ec206bc,330.0,333.0,282.0,276.0,291.0,293.0,198.0,219.0,322.0,329.0,280.0,276.0,288.0,286.0,195.0,212.0,37653.49870967865,41621.98070144653,42474.54006290436,34328.582980155945,22187.14230060577,31635.94793987274,6465.2032079696655,8109.056260108948,0
53,53,931573aaba554b1c0c76fa56d35f0aaf41469064c493d515f36ae1c95998aadcb8373b540da6a1145804bde6c8884748709f28f195f3c27abd1ca4e5cac3d184,87.0,74.0,66.0,54.0,40.0,51.0,1.0,39.0,87.0,72.0,66.0,54.0,40.0,50.0,1.0,39.0,692.3804664611816,805.9625043869019,751.7228670120239,457.5030002593994,28.981786727905277,185.7862024307251,0.7832164764404296,150.8098907470703,0
54,54,71ce0be5779db6dc5f96ef0e24a5d0fbc6d9ea80cdcd2822e51782c219e0ec0269418c52b62da9ec07fd9bdf3bf8bdf49efd4daa1f016f3b3078701de82690cd,120.0,131.0,138.0,124.0,132.0,104.0,93.0,118.0,107.0,122.0,125.0,113.0,120.0,94.0,86.0,112.0,331.9702272415161,1148.8369731903076,1070.2326192855835,510.9936637878418,933.687029838562,1444.1333990097046,866.5191984176636,1910.3915691375728,0
55,55,e38ee69f77d942aa45e81ec7da9f5948ac527b081f3af9e78f348fee944926fc0a644cc88cbec3e05c1976b7f2c8f1f6e153a96871abad25a7ee3a566352df5d,283.0,288.0,269.0,243.0,242.0,263.0,237.0,250.0,257.0,255.0,240.0,218.0,220.0,238.0,229.0,241.0,26006.90959072113,24320.42338657379,27252.67675971985,12297.586384773254,9553.082966804504,10511.02592754364,15107.141530036924,11666.251781463625,1
56,56,3d78ba390b7d395362c3c12fbde309cae8a8c2ca77ac5c4255ce4523245988d3e4feb9d59beaf7d696e58287ba5ca81743ae5f17e76ff8e4cdad3661f983c318,80.0,73.0,77.0,58.0,153.0,125.0,99.0,110.0,80.0,73.0,77.0,58.0,152.0,120.0,94.0,98.0,7820.172399520874,6793.106330871582,1427.55073261261,880.9730339050293,14724.93165779114,17537.012241363525,17748.1504945755,26502.98003768921,0
57,57,9455808b8c83066f6a80aaa367642c43e7a8c5b7fef271e4c48b8cc69b63990e967818ca756a78b031a00a0ccf10336bb29b7b45e439da7d38418bcf4cebd030,74.0,67.0,101.0,79.0,95.0,55.0,64.0,18.0,70.0,63.0,91.0,70.0,95.0,55.0,51.0,18.0,2103.5208349227905,2147.630192756653,3149.523356437684,1655.291624069214,6827.798542022705,599.4313859939575,1121.7988348007202,5.342695236206055,0
58,58,c1b0dbcdb4a01d72cc485fbbdd9ed4c2e64bde80ebb0ea4fd76bad8f7636d68d07d7d6d6f6191c0b4ab40e9507a177e8b0760507fe6448ef8c1d30d450d0f789,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,0.0224475860595702,0.0130996704101561,0.0283403396606444,0.0487756729125975,0.0754117965698241,0.0227565765380856,0.0087833404541014,0.0285034179687499,0
59,59,1c4794c2552aaff2b93e7e048d31c57df435fdf522ff09d30228cc62fdce6f267a071c76c9e005d58973a61abc9d152aa1245f7b52d63104981fea372353e392,157.0,178.0,167.0,135.0,145.0,118.0,,,157.0,178.0,161.0,135.0,145.0,118.0,,,4601.892179489136,5422.709057807922,11476.84091758728,4314.5014905929565,3231.1597604751587,3276.8276977539062,,,0
60,60,bba99642353deab564eb8bbef86ea8db5f84a2869ab9a1eb8a0fe2eda77b164894fcde2dce0a03c8507c3e9a0f1cdb62753d38cbd9a5cb69afbe087779a213e5,227.0,202.0,186.0,190.0,187.0,219.0,193.0,201.0,210.0,188.0,174.0,180.0,173.0,207.0,188.0,192.0,15200.209484100342,14524.481347084044,8540.490935325623,9264.95761013031,18425.131720542908,22737.13414478302,18959.507480621334,27871.20199203491,0
61,61,41a974d72a9531876b910c02b581fa219d6645c62835777a918dfa505560a93afe1dcc61d532499435ddeffa9ed8bda510614fba285eaa30072875e13c2c1695,1.0,,1.0,,3.0,2.0,1.0,1.0,1.0,,1.0,,3.0,2.0,1.0,1.0,0.0015821456909178,,0.0015974044799803,,0.0441513061523437,0.0687618255615234,0.0476083755493163,0.0678119659423827,0
62,62,d4264372c04594af0970fdb34162db7d90779f4c645618fb9bbb5e1c38c61d6457ae4c7add3823b8f247684f8c0167bbf4e690f4d4808aea53bb34a0caf416ad,5.0,2.0,21.0,63.0,56.0,63.0,65.0,1.0,5.0,2.0,21.0,61.0,55.0,55.0,52.0,1.0,0.0069599151611326,0.0257682800292966,5.837035179138184,232.91670989990237,418.6845235824585,287.6585969924927,481.08385944366455,0.0722951889038085,0
63,63,ea03abc1773b9a0b84f0b05e8b3fe0b793fb89b3b201281e6fc7d32c31ebf271e274e5b7dbe86aa126209115ea0f8f33afe6f7dacddf46406d3275f8dda4c4a2,,,,,,,,,,,,,,,,,,,,,,,,,1
64,64,b2c0275146e922bb1c5534a105c3394465c3702c43ea2484027058629b4055e21e23a98d584330e0722e2e57a2fe503294b8d5bd17c195c61fc0fb64e94dcb8f,2.0,1.0,2.0,28.0,1.0,31.0,1.0,1.0,2.0,1.0,2.0,28.0,1.0,30.0,1.0,1.0,0.354104995727539,0.0028705596923827,0.0628042221069335,13.297099113464355,0.0358695983886718,14.438237190246582,0.1755714416503902,0.0356750488281249,0
65,65,b579851a3638f4b178cbc85cdfcf6a10ba9b26b1b736ba5387ef59d1b2955f6e7f9e47625a0a83e5e577b45f4b9e19381c33f4f845ba3ade8f788b6ca405b8db,57.0,,,,,,,,54.0,,,,,,,,58.2960319519043,,,,,,,,1
66,66,ce7169d9559034b663e57c3d9ee4fe07b32b4b42a1641f2ffa0dbfe16acfcb14b29a191bb762dd8cf37e0a29049eeaac473258315383aec01c4bd07644a2b8b9,73.0,,,,,,,96.0,73.0,,,,,,,96.0,1245.8386487960815,,,,,,,1360.119379043579,0
67,67,ff695802a9d2dca6235f4f72fd5be0164819bf9ff0a347d780feda4a26c5cfc745eb7d2e25f832cb2ef85efa0fdfede484ff06853c1bdd2c662d0074365b7156,,,,,,,,,,,,,,,,,,,,,,,,,1
68,68,a6d3c390f393c38d5fb2690d1ef95f040dc967e799769ab675ecf8620d985372864b1eaddf8fb6396125908c49f283c71e4d330fe5c84dcda51a5cd4afa3c4ee,44.0,48.0,12.0,52.0,122.0,6.0,2.0,4.0,44.0,48.0,12.0,52.0,122.0,6.0,2.0,4.0,24.707240104675293,58.110228538513184,1.6214656829833984,226.5299205780029,3302.950653076172,0.4922180175781248,0.367608070373535,0.7604942321777343,0
69,69,f80d6ed449d9325b97dbc44a52a2ed33267cca4212a5114639adc9141dfd0ada392da215c0bb5a7c016ac0adb8d4c49334519d57f7aa78897918881e5a8262ca,122.0,150.0,141.0,132.0,147.0,147.0,158.0,143.0,121.0,150.0,138.0,132.0,147.0,145.0,156.0,142.0,16576.71066761017,13445.56642627716,13478.189979553224,13149.863613128662,19182.17827701569,11932.43099975586,10632.440665245056,8756.39109992981,0
