,number,phone_no_m,label,sms_rate_1908,calltypeRate2_1908,calltypeRate1_1908,hour_mode_count_1908,hourAver_1908,day_mode_count_1908,dayAver_1908,sms_rate_1909,calltypeRate2_1909,calltypeRate1_1909,hour_mode_count_1909,hourAver_1909,day_mode_count_1909,dayAver_1909,sms_rate_1910,calltypeRate2_1910,calltypeRate1_1910,hour_mode_count_1910,hourAver_1910,day_mode_count_1910,dayAver_1910,sms_rate_1911,calltypeRate2_1911,calltypeRate1_1911,hour_mode_count_1911,hourAver_1911,day_mode_count_1911,dayAver_1911,sms_rate_1912,calltypeRate2_1912,calltypeRate1_1912,hour_mode_count_1912,hourAver_1912,day_mode_count_1912,dayAver_1912,sms_rate_2001,calltypeRate2_2001,calltypeRate1_2001,hour_mode_count_2001,hourAver_2001,day_mode_count_2001,dayAver_2001,sms_rate_2002,calltypeRate2_2002,calltypeRate1_2002,hour_mode_count_2002,hourAver_2002,day_mode_count_2002,dayAver_2002,sms_rate_2003,calltypeRate2_2003,calltypeRate1_2003,hour_mode_count_2003,hourAver_2003,day_mode_count_2003,dayAver_2003
10,10,4a3fe69177d1db33296ead78bc2eb3410f458f51ceea9c26ad5c7baf10e07e5f0ad6795b98145306d9844f93d4a239bb054ebc20905d55880ea5fdc19331c2da,0,6.0,1.0,,34.0,10.0,13.0,4.8,7.8,1.0,,14.0,5.571428571428571,9.0,4.588235294117647,10.555555555555555,1.0,,40.0,10.555555555555555,8.0,3.8,4.190476190476191,1.0,,15.0,6.285714285714286,10.0,4.4,5.909090909090909,1.0,,43.0,8.125,13.0,5.416666666666667,4.0,1.0,,12.0,7.0,12.0,4.869565217391305,12.857142857142858,1.0,,31.0,12.857142857142858,43.0,6.206896551724138,8.0,1.0,,35.0,16.0,18.0,8.258064516129032
11,11,1708e1c2c7e6e3ba949421eede6d80cf77fb12b692a7514a988cd74ad89d963f0c129dfc0db43c5c8fba6b6122c12a3e7e6dc4930686d39b60a1ecd16afa6cda,0,5.586206896551724,0.9876543209876544,0.0123456790123456,16.0,8.526315789473685,13.0,5.4,5.761904761904762,0.9834710743801652,0.0165289256198347,18.0,7.5625,20.0,5.761904761904762,5.378378378378378,0.9396984924623116,0.0603015075376884,29.0,11.705882352941176,25.0,6.862068965517241,4.102564102564102,1.0,,21.0,8.0,14.0,6.4,3.877551020408163,0.9842105263157894,0.0157894736842105,25.0,11.176470588235292,16.0,6.551724137931035,6.117647058823529,1.0,,42.0,11.555555555555555,50.0,6.933333333333334,4.682926829268292,1.0,,22.0,10.105263157894736,15.0,6.620689655172414,4.886363636363637,1.0,,28.0,11.31578947368421,24.0,7.678571428571429
12,12,1de2d338adcd6a255a17141ba1c663fbc8071f2ed756a248d6f1d77f44f6d841a68cae430cf13f09bc447e97416b9cee313fe305742d0913a912da426593108c,0,5.555555555555555,1.0,,18.0,6.666666666666667,8.0,3.8461538461538463,4.866666666666666,1.0,,20.0,5.615384615384615,6.0,3.3181818181818183,7.714285714285714,1.0,,28.0,9.0,11.0,4.0,6.642857142857143,1.0,,19.0,6.642857142857143,8.0,3.576923076923077,8.76923076923077,1.0,,18.0,8.76923076923077,10.0,4.75,4.916666666666667,1.0,,20.0,9.833333333333334,10.0,4.72,6.555555555555555,1.0,,17.0,8.428571428571429,17.0,4.538461538461538,4.612903225806452,0.993006993006993,0.0069930069930069,27.0,9.533333333333331,26.0,5.107142857142857
13,13,b16920c8dfc8a0e1349db12d2d3285f77e31c6a6d3ed2a68725f41e628c0f98d5ce55bb71ca33e3bc52acbfaf946cd2bdae06142413dece51698d1a3444d2935,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2758620689655173,1.0,,22.0,5.5,25.0,13.2,3.1235955056179776,0.9964028776978416,0.0035971223021582,35.0,13.9,20.0,9.586206896551724,2.80327868852459,0.9824561403508772,0.0175438596491228,34.0,8.55,13.0,6.107142857142857,2.354430379746836,0.989247311827957,0.010752688172043,28.0,10.333333333333334,17.0,6.2
14,14,7edc0ed9e4afb9648b18ae4517516ed1c641103c2f83dd3d4d75f56c9c01bd0e46bf26962bc343453579d1a858a4471ab7b864a81f33b0edb1cd558c34f79205,0,12.5,1.0,,9.0,5.0,7.0,2.9411764705882355,27.666666666666668,1.0,,26.0,9.22222222222222,20.0,4.882352941176471,12.6,1.0,,22.0,6.3,9.0,3.5,7.6,1.0,,15.0,4.75,12.0,3.8,4.166666666666667,1.0,,11.0,3.125,5.0,2.083333333333333,8.333333333333334,1.0,,8.0,2.5,5.0,2.7777777777777777,6.0,1.0,,7.0,3.4285714285714284,5.0,3.0,10.166666666666666,1.0,,19.0,4.6923076923076925,18.0,4.6923076923076925
15,15,73e9ee7e186d0483f568bc1227cfc407fb5548a441dc1943841c723faded61e1f9522da24287b565e1472002308fb8f0db9c5bfa67f4e1e0b48210c3da018629,1,3.2916666666666665,1.0,,26.0,5.642857142857143,32.0,8.777777777777779,2.669230769230769,0.968299711815562,0.031700288184438,41.0,17.35,73.0,13.346153846153848,2.6559139784946235,0.9595141700404858,0.0404858299595141,29.0,11.761904761904765,23.0,7.967741935483871,2.768421052631579,0.8783269961977186,0.1216730038022813,37.0,13.842105263157896,32.0,8.766666666666667,3.4468085106382977,0.7901234567901234,0.2098765432098765,51.0,24.3,83.0,15.67741935483871,4.024390243902439,0.6545454545454545,0.3454545454545454,25.0,10.3125,35.0,7.857142857142857,,,,,,,,,,,,,,
16,16,afb879635550e8c192c9507e5481faa3e32b440a1809eb98dd6940ec675a5098225f834d1d08262ee0a00b3bf97b8b75fb620eb0c136228b3e3405173fe43fa1,0,3.796875,0.9629629629629628,0.037037037037037,31.0,13.5,24.0,8.379310344827585,5.307692307692308,0.9855072463768116,0.0144927536231884,24.0,10.35,16.0,7.666666666666667,2.69811320754717,0.972027972027972,0.0279720279720279,15.0,9.533333333333331,12.0,4.931034482758621,3.6041666666666665,0.9942196531791908,0.0057803468208092,22.0,10.8125,19.0,6.178571428571429,3.5892857142857144,0.9950248756218906,0.0049751243781094,26.0,11.166666666666666,19.0,6.7,4.476190476190476,0.9946808510638298,0.0053191489361702,29.0,11.058823529411764,18.0,6.482758620689655,6.518518518518518,1.0,,24.0,10.352941176470589,18.0,6.285714285714286,5.375,1.0,,38.0,12.647058823529411,17.0,7.166666666666667
17,17,d374d619082ea422e8e99bb417beb4e860e49c3628bde9efccf8246dc977a010fce803d5c351dea47392f94d770f11c4ec40c34459f553ac161b78d7304fb1b2,0,2.99,0.9899665551839464,0.0100334448160535,44.0,16.61111111111111,26.0,9.64516129032258,3.8181818181818175,0.988095238095238,0.0119047619047619,40.0,15.272727272727272,30.0,11.586206896551724,3.388349514563106,0.98567335243553,0.0143266475644699,43.0,19.38888888888889,24.0,11.258064516129032,3.0642201834862384,0.997005988023952,0.0029940119760479,53.0,17.57894736842105,29.0,11.133333333333333,4.252525252525253,0.98812351543943,0.01187648456057,63.0,18.30434782608696,27.0,13.580645161290322,5.015625,0.9968847352024922,0.0031152647975077,47.0,14.590909090909092,25.0,10.35483870967742,8.109375,1.0,,54.0,23.59090909090909,61.0,17.896551724137932,9.153846153846152,0.9985994397759104,0.0014005602240896,74.0,31.043478260869566,52.0,23.032258064516128
18,18,9f5a6e330a5a45c879f6f6065d9a2e73d0053c425cd5b2b9ee0ac292ec40aef23e29b2d7f01207e44eceb0db0d4feb00559c67a7673637bfb5f7d9d49f9cbe4a,1,3.936507936507936,0.9455645161290324,0.0544354838709677,48.0,20.666666666666668,42.0,16.0,4.571428571428571,0.9174107142857144,0.0825892857142857,51.0,20.363636363636363,54.0,14.933333333333334,7.169491525423729,0.9858156028368794,0.0141843971631205,69.0,21.15,59.0,14.586206896551724,4.28030303030303,0.9734513274336284,0.0265486725663716,78.0,24.565217391304348,72.0,18.83333333333333,5.068965517241379,0.9959183673469388,0.0040816326530612,102.0,33.40909090909091,55.0,23.70967741935484,4.474226804123711,0.9838709677419356,0.0161290322580645,63.0,21.7,62.0,15.5,3.847457627118644,0.960352422907489,0.039647577092511,57.0,22.7,41.0,15.655172413793103,3.4411764705882355,0.9957264957264956,0.0042735042735042,33.0,11.7,50.0,18.0
19,19,6988a9ed8a63aa4b3c6945f625e3f9d0be3a376585d3e2f4e05c28e01a387161be31cd54d38e269780bf4b633ecc64f505cce2db6fb32a1a2bcb3d1943ab3897,0,2.537037037037037,0.9635036496350364,0.0364963503649635,24.0,7.611111111111111,17.0,5.48,4.8,0.9791666666666666,0.0208333333333333,38.0,12.63157894736842,48.0,8.571428571428571,3.977777777777778,0.9832402234636872,0.0167597765363128,27.0,10.529411764705882,20.0,6.392857142857143,4.628571428571429,0.9876543209876544,0.0123456790123456,30.0,9.0,28.0,6.0,5.2368421052631575,0.984924623115578,0.0150753768844221,28.0,11.705882352941176,23.0,6.633333333333334,5.5,0.9886363636363636,0.0113636363636363,16.0,5.866666666666666,13.0,5.5,4.238095238095238,1.0,,27.0,9.36842105263158,22.0,7.12,2.9148936170212765,0.9416058394160584,0.0583941605839416,28.0,8.058823529411764,24.0,5.269230769230769
20,20,c32f698c84a8ad2964b8b76c526d6c08ec5db44ff1d2e4394e19bb292f45aeaa216e006a3bafba99f86b7c69058d6c45d8cc7588ff5244bf149fa8bf4e5f1b77,1,,,,,,,,2.083333333333333,1.0,,12.0,4.166666666666667,16.0,12.5,,,,,,,,3.333333333333333,1.0,,14.0,7.5,24.0,15.0,,,,,,,,,,,,,,,,,,,,,,7.8,0.9743589743589745,0.0256410256410256,11.0,5.571428571428571,16.0,6.5
21,21,8b9179c987165956a6221eaf4c738182f59a07a13ccf4b3957e1ef2f5633ac1325efa9aeb94a1fa1d6e87ba854e13f994a15af06f8698d8f2a8b0adb1df4f53c,1,,,,,,,,,,,,,,,,,,,,,,37.833333333333336,0.8105726872246696,0.1894273127753304,51.0,22.7,41.0,28.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,168aa25a3c9d315165077fe4ce43cf809416bc7d075c34513c7c03d1356f6d9dd54103ed93ce05ebae0de6bff237e1ec945d250aa17823ed828e890e2ce615e1,0,,,,,,,,7.32258064516129,0.8546255506607929,0.145374449339207,59.0,13.352941176470589,57.0,7.827586206896552,7.933333333333334,0.9915966386554622,0.0084033613445378,42.0,9.153846153846152,16.0,4.25,11.3,0.9823008849557522,0.0176991150442477,48.0,12.555555555555555,8.0,3.7666666666666666,14.625,1.0,,58.0,10.636363636363637,8.0,3.774193548387097,2.6538461538461537,0.8115942028985508,0.1884057971014492,15.0,4.928571428571429,12.0,3.2857142857142856,6.833333333333333,0.9878048780487804,0.0121951219512195,14.0,5.466666666666667,8.0,3.9047619047619047,3.1904761904761907,1.0,,14.0,4.466666666666667,13.0,3.941176470588236
23,23,5f16fe8f53b70292de45477651ae40457d9e251b2812b934a44ac6e75786442078bbc5e521ee9d2c4589b21ab0c0e75e123f36b794d5f17e65fb6841a4eb7fb5,0,5.636363636363637,1.0,,11.0,4.769230769230769,12.0,4.428571428571429,7.75,1.0,,15.0,6.2,11.0,4.133333333333334,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,2.821428571428572,1.0,,11.0,5.642857142857143,9.0,3.590909090909091,4.409090909090909,0.865979381443299,0.134020618556701,10.0,5.705882352941177,14.0,4.85,4.1395348837209305,0.8258426966292135,0.1741573033707865,32.0,9.88888888888889,35.0,7.416666666666667,3.7916666666666665,0.989010989010989,0.0109890109890109,20.0,9.578947368421051,26.0,6.066666666666666
24,24,becad33ef685aa51b1c6ead188193059f7bb2008c074fc77fc8619355e0bfff502b64569c660d78bf0ca4c4d843b1b68b8275a64856fd983ed47d741225a83bd,0,11.75,1.0,,12.0,4.2727272727272725,7.0,3.357142857142857,10.4,1.0,,13.0,5.777777777777778,7.0,3.466666666666667,17.0,1.0,,24.0,6.8,10.0,4.857142857142857,39.0,1.0,,22.0,7.090909090909091,11.0,4.105263157894737,4.428571428571429,1.0,,7.0,3.875,5.0,3.1,12.5,1.0,,8.0,4.166666666666667,7.0,2.9411764705882355,19.2,1.0,,18.0,8.0,12.0,3.692307692307693,9.0,1.0,,9.0,4.090909090909091,9.0,2.5
25,25,928df9be4c3e7304c83736a39aa81fa9fe3a1c76e01710e6581b0277ebced37390ce2472560921e7d62b2289eba6fb14eaaf9eff1a095dbcc2e872db6826650e,1,,,,,,,,,,,,,,,18.25,1.0,,64.0,24.33333333333333,55.0,24.33333333333333,3.3703703703703702,1.0,,25.0,9.1,10.0,3.3703703703703702,11.5,0.9891304347826086,0.0108695652173913,20.0,7.666666666666667,10.0,4.380952380952381,18.571428571428573,0.9846153846153848,0.0153846153846153,31.0,10.0,11.0,4.814814814814815,12.166666666666666,0.9794520547945206,0.0205479452054794,29.0,11.23076923076923,12.0,5.407407407407407,12.8,0.984375,0.015625,16.0,6.4,10.0,3.0476190476190474
26,26,51fe5bf2476c2fc6903fc45bcec063ec8a16adda2b738dd620f062287d91b234abbbf3e68e01e9c63de97bd38bbf041a5571dbac501834012d4d529c6560d86a,0,12.25,1.0,,32.0,9.8,14.0,3.161290322580645,13.142857142857142,1.0,,32.0,10.22222222222222,8.0,3.066666666666667,15.88888888888889,1.0,,42.0,13.0,14.0,4.612903225806452,16.6,1.0,,29.0,10.375,7.0,2.7666666666666666,11.727272727272728,1.0,,29.0,11.727272727272728,15.0,4.161290322580645,13.4,1.0,,39.0,9.571428571428571,12.0,4.32258064516129,9.0,1.0,,27.0,10.125,14.0,5.586206896551724,10.153846153846152,1.0,,28.0,8.8,10.0,4.258064516129032
27,27,a7aa19e6e8ea1ccf49dae947a55a85d3001fb347ecb79588fa54410402e2660423fd7f28b14303110f2051e36d84943029d4178899ad53df185b6e8121c98956,0,6.138888888888889,0.9728506787330315,0.0271493212669683,42.0,13.0,17.0,7.129032258064516,6.542857142857143,0.9868995633187772,0.0131004366812227,78.0,13.470588235294118,20.0,7.633333333333334,7.09375,0.9779735682819384,0.0220264317180616,70.0,16.214285714285715,16.0,7.32258064516129,5.023809523809524,0.9478672985781992,0.0521327014218009,65.0,14.066666666666666,17.0,7.033333333333333,5.608695652173913,0.9612403100775194,0.0387596899224806,86.0,18.428571428571427,18.0,8.32258064516129,7.151515151515151,0.9830508474576272,0.0169491525423728,83.0,15.733333333333333,18.0,7.612903225806452,11.285714285714286,0.9873417721518988,0.0126582278481012,80.0,13.166666666666666,23.0,8.172413793103448,8.633333333333333,0.9806949806949808,0.0193050193050193,93.0,18.5,16.0,8.35483870967742
28,28,433bbcfb740f49bbe2392c84158445bd7648367d8ad05180cd55f8236dadf9c80ac7f27f037fc88507d00abad2604c60ef761566e6035c8f24ef4972fff2211f,0,8.583333333333334,0.9514563106796116,0.0485436893203883,27.0,7.923076923076923,18.0,5.421052631578948,6.0,0.9696969696969696,0.0303030303030303,14.0,6.6,18.0,4.714285714285714,8.0,1.0,,7.0,4.571428571428571,8.0,2.4615384615384617,14.0,0.9897959183673468,0.010204081632653,32.0,8.909090909090908,19.0,4.454545454545454,11.375,0.989010989010989,0.0109890109890109,32.0,7.0,13.0,4.55,14.6,1.0,,18.0,6.636363636363637,12.0,4.294117647058823,26.75,1.0,,17.0,8.916666666666666,14.0,5.631578947368421,15.25,1.0,,15.0,5.083333333333333,11.0,2.9047619047619047
29,29,0dfe7b8fe532ae4b85f64ef11aa478e2abae8d0c92d8118f0169c43600dc7d6af517139f1b8c5305ad5ba7b14d03812a910962649881d3be1af39434f350f6eb,1,,,,,,,,,,,,,,,,,,,,,,13.2,0.9696969696969696,0.0303030303030303,16.0,6.6,25.0,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,0708b0ebd50a7eefd2040b84c4a20c10531d088bdc8eef5f8a59af927217c68232b6b98670250927610fb56e3f3e91f25f07bfb4b8b00e52788766eda944e03e,0,8.176470588235293,1.0,,26.0,9.928571428571429,16.0,5.346153846153846,7.2,0.9351851851851852,0.0648148148148148,23.0,9.0,16.0,5.142857142857143,9.77777777777778,1.0,,14.0,7.333333333333333,9.0,3.8260869565217392,8.166666666666666,1.0,,36.0,10.5,16.0,5.25,5.5,0.9924242424242424,0.0075757575757575,18.0,8.25,11.0,4.888888888888889,8.052631578947368,1.0,,18.0,9.5625,12.0,5.666666666666667,8.4375,1.0,,17.0,8.4375,15.0,5.0,5.478260869565218,1.0,,16.0,7.875,12.0,4.344827586206897
31,31,327135277270d460b7664eb975452b646630adda11cc27ce0804a7ce8b513ed6f7853a9c8c4273b319794b95413ebab24ba494055a4e6bdc75ba82cd109e6436,0,3.320754716981132,0.9943181818181818,0.0056818181818181,23.0,10.352941176470589,12.0,5.67741935483871,3.35,0.9950248756218906,0.0049751243781094,39.0,11.823529411764708,26.0,6.7,2.4074074074074074,0.9923076923076924,0.0076923076923076,17.0,8.125,13.0,4.642857142857143,2.4680851063829787,0.9956896551724138,0.0043103448275862,31.0,13.647058823529411,18.0,7.733333333333333,2.313725490196078,1.0,,37.0,15.733333333333333,24.0,7.866666666666666,4.285714285714286,1.0,,25.0,11.666666666666666,18.0,7.0,4.8,0.9916666666666668,0.0083333333333333,39.0,14.117647058823527,20.0,8.275862068965518,3.101694915254237,0.994535519125683,0.0054644808743169,25.0,11.4375,11.0,6.1
32,32,bdfc6bac42ddb200415f38f5b53401fc3ea134f0ec5cfe67fc2e6c23f13fd7795cc800b8fba90cc7c06a458c5afe2d578a76dbd4168b00e5472f854d66bed284,0,3.583333333333333,1.0,,8.0,3.3076923076923075,5.0,2.5294117647058822,6.5,1.0,,7.0,3.5454545454545454,8.0,3.0,4.444444444444445,1.0,,10.0,4.444444444444445,6.0,2.857142857142857,4.727272727272728,1.0,,11.0,4.727272727272728,7.0,2.888888888888889,4.727272727272728,1.0,,8.0,4.727272727272728,6.0,3.0588235294117645,9.375,1.0,,15.0,5.0,7.0,4.166666666666667,26.4,1.0,,16.0,8.8,17.0,4.888888888888889,11.0,1.0,,15.0,7.333333333333333,9.0,3.3846153846153846
33,33,337adca02abb4e2b17d9706912658a9b1d782099d3f85ccb917082c0eaed84de4edb025f53aa2ef8417f178a569ac2e9ee9ce8658f7365dee998041f9e14cc7c,0,9.0,1.0,,34.0,8.470588235294118,16.0,5.142857142857143,7.588235294117647,1.0,,18.0,8.0625,13.0,4.607142857142857,4.047619047619048,1.0,,20.0,5.666666666666667,15.0,3.5416666666666665,6.533333333333333,1.0,,16.0,5.764705882352941,13.0,4.454545454545454,6.764705882352941,1.0,,20.0,6.764705882352941,13.0,5.0,7.555555555555555,1.0,,17.0,8.5,18.0,5.230769230769231,13.333333333333334,1.0,,20.0,11.428571428571429,19.0,7.272727272727272,7.074074074074074,1.0,,40.0,10.61111111111111,21.0,6.366666666666666
