number,Unnamed: 0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,label
34,34,6270,9495,5860,-843,5910,1832,9934,2478,10473,7937,1964,-1340,867,4115,-2100,-753,3395,7263,2287,9882,-302,4407,9479,0
35,35,9597,7862,1154,1783,6267,4836,1167,7864,119,-2348,6973,3299,2784,4245,2129,2940,12649,981,1687,14170,1969,9806,5669,0
36,36,2357,6248,2811,-985,2950,4633,8125,5820,4963,4972,8141,10997,2247,1606,5578,12574,8079,11374,4072,9626,7330,12118,8397,0
37,37,7927,13060,11056,3385,6509,1849,7955,4752,1501,3522,7631,13605,3208,3760,11425,11104,7592,10449,4538,12638,12399,7783,11188,0
38,38,3657,11112,10334,10241,6006,11782,2794,1103,6567,8419,5843,10149,12758,6574,1225,10417,9129,2941,10771,11448,7835,3706,10853,0
39,39,10942,3089,10190,4684,5357,7839,7563,8276,6737,1797,4411,7657,10284,8171,10742,9476,13553,2308,6683,4699,3544,12046,4218,0
40,40,8392,13116,5788,6443,6455,7651,13823,10862,8933,5346,5314,6758,3319,6935,6754,8971,7819,2533,2539,5994,12156,9423,10260,0
41,41,-2023,1900,274,-2489,754,647,10495,110,-1233,385,6163,9676,7706,3749,12408,-235,-1216,2710,77,8125,2412,587,7128,0
42,42,11898,10974,14248,17319,19744,13338,22909,17814,18531,16741,11577,17028,14749,12480,16110,15673,7995,23197,7966,20037,21496,7716,19718,0
43,43,13505,8195,1821,10871,10902,10926,9663,8920,11162,10328,7870,13152,1748,6008,9545,12523,4868,6251,176,13660,13097,9685,3576,0
44,44,640,4601,9162,9103,10265,9858,3088,12912,785,4177,7075,12461,9117,2429,10916,11054,4657,9833,5525,1937,11466,6187,7955,0
45,45,11612,1575,2828,3758,3392,9381,5070,11593,2696,4795,5474,11174,12899,5561,4764,9683,4053,5457,5979,8114,6804,7305,11520,0
46,46,9673,14741,9372,10051,5880,10464,12010,7765,10404,9607,10462,1384,6311,7468,6164,2054,6847,172,14206,8829,4141,10685,5196,0
47,47,7275,10116,6704,1489,14831,5150,7756,9444,8742,5133,8269,-2748,8749,3345,6559,7640,-1986,6557,13805,7043,3314,5579,4264,0
48,48,-4884,-3992,-843,-4192,-1897,-9684,-6494,-5479,5222,-4413,-4732,-4372,-5019,-2812,299,-3766,-2922,3298,221,-2423,-10428,-1509,834,0
49,49,7715,1002,7307,9462,696,12279,1328,9956,5452,2191,6685,-1248,10512,4900,4939,987,11360,5850,9782,8243,2446,11958,4279,0
50,50,6583,3046,426,4369,6804,5115,-138,-4929,6276,4914,5107,7522,73,957,6666,302,-1071,-3338,8365,-3188,4391,4213,-2791,0
51,51,11457,5742,12863,9129,6556,13289,1344,8320,15594,7100,4642,8516,1011,11257,5139,9680,10348,10716,11420,4295,1799,18841,-350,0
52,52,16985,11285,11592,11108,19197,13714,10950,18101,15841,12384,15434,21904,12220,15931,11164,15713,22265,19052,18038,19901,16450,16043,17283,0
53,53,7758,6579,1277,7758,-2368,4264,6764,-3000,3573,4572,1721,8073,-1802,3158,-153,4406,1892,4997,6603,5509,2555,4591,-2921,0
54,54,11555,1431,8094,6774,10097,12079,3390,8953,8611,5422,5470,4574,6872,7577,12393,12432,10216,8501,7218,6471,7983,9508,12900,0
55,55,9912,8435,9397,8337,10842,4906,3864,6884,-749,12254,7620,-1476,11056,11440,1226,1992,1537,4596,7014,3577,3221,4475,7922,0
56,56,9274,8702,3045,12017,5939,11994,-4585,11430,783,8272,1076,15069,5847,8077,16991,1318,7631,9062,5175,3876,9093,4309,8304,0
57,57,-1264,5333,1981,5131,9077,15315,4387,4880,11327,7829,9607,10217,1246,9143,6551,6488,1298,11389,5742,10501,2158,5253,310,0
58,58,-1170,-3681,-6962,-5546,-8093,-4023,-6418,-8312,-5348,-9389,-8479,-4283,-6497,-810,-1388,-5990,-5875,-1274,1146,-4893,2252,-4946,144,0
59,59,2631,14162,1021,2881,12426,2816,6831,11420,6232,7723,10603,9073,8520,8579,1393,7856,2712,-2261,10838,1730,7983,6359,4706,0
60,60,3807,941,4672,4100,9454,4853,-3375,11578,9201,10457,6639,3983,9147,9838,6355,10405,6551,5056,5596,7515,8506,10371,5654,0
61,61,8297,7671,13613,580,12151,8745,9817,3316,5987,10745,1424,9482,11968,2089,10913,6024,2097,4207,12321,-459,5518,9238,10990,0
62,62,3840,2315,8954,6294,4277,12963,5758,664,2840,2634,8438,9745,6621,9577,7695,1750,883,4131,3233,-3162,2385,4138,1870,0
63,63,651,-5238,-6537,-7490,983,-5922,-5690,-3602,-404,271,-2584,1425,-8124,-2195,-2062,-71,1825,2376,-1501,550,-3722,-3272,-1689,0
64,64,13373,7153,11939,5086,10195,7578,1948,6769,2363,6990,4846,8453,8690,8537,5441,6375,6540,10686,7766,11795,8577,12121,14253,0
65,65,3628,5033,10425,-1574,11919,10107,9184,12699,7824,8723,4858,11103,5490,6014,843,11121,6649,4934,-5114,8787,8506,9238,10138,0
66,66,4592,2232,5188,9763,4776,1873,2212,2378,3845,2842,1419,11344,8904,5617,4041,5202,8775,6467,7296,4114,9014,3910,10354,0
67,67,5980,-3128,3917,6451,-4784,3556,6535,2812,-1363,7429,-2548,1303,2940,3791,9537,-5682,3815,5781,1631,2934,2580,-207,751,0
68,68,10018,6504,-197,-2829,7585,7128,1570,3572,7629,9333,1609,3942,9026,5843,8711,5687,1917,6115,4913,5097,-88,13734,8813,0
69,69,5193,11997,9711,3327,4874,6174,2350,8268,13108,-198,10181,4867,415,9892,7626,1397,440,7674,4343,9534,12828,9352,3747,0
70,70,6133,5901,10297,6692,12634,8131,12021,4010,4927,9775,10822,3067,8781,10832,10397,3813,11499,11023,4980,-3385,15211,6098,10080,0
71,71,5388,10112,12528,2571,5803,12055,7151,11887,1031,2606,14944,5106,11357,8155,4436,9777,4440,3243,14211,-529,3375,9326,4929,0
72,72,6697,-4030,221,5328,2564,2404,4124,3748,-1487,-1770,4172,-4078,1103,3340,-4692,-4304,-4435,349,4096,5533,-175,-3790,-506,0
73,73,4907,2453,-1539,-1299,-3204,2414,10430,-234,264,-667,2991,3322,4222,5523,-1125,3564,7259,6615,7095,939,924,-1029,-3790,0
74,74,2298,4462,11445,10104,13365,2583,12306,4437,10525,11105,5401,8817,10718,6855,7243,277,11881,12410,10334,6122,10011,8997,14004,0
75,75,-1455,-8919,-5348,-2438,783,-2647,-3257,-10023,-1765,-4928,-6646,-8651,-2803,249,-6718,811,-6208,-7349,-6698,-2291,-2997,-5387,-1590,0
76,76,2671,4831,3198,186,4926,2677,872,9292,-2254,6236,1160,5866,592,9843,292,4457,9227,1528,1483,975,2950,2831,5892,0
77,77,1981,6964,9879,7878,945,3158,8586,8568,2278,7207,902,5983,1596,9254,5636,5507,6842,10827,2672,11108,14374,9215,10676,0
78,78,4974,572,11077,-2050,5376,8435,1260,-3626,1384,2316,-1712,8548,-2076,4419,8392,-4864,2708,10488,63,9779,1482,-278,-359,0
79,79,2872,6948,7290,-59,3819,10156,9488,9178,3957,3337,1440,9784,3049,8633,-1314,1623,7542,12690,8125,1418,-1910,12810,547,0
80,80,11063,2790,286,6707,6317,792,8381,3909,6100,7469,-260,2978,7040,9587,813,3196,4166,8802,707,-763,12898,900,8940,0
81,81,5724,6551,7370,9504,5793,3579,12030,10418,9001,9888,2607,2820,12774,10745,8596,7365,4634,12809,6101,9198,11062,9472,4252,0
82,82,3123,7467,7919,10667,6249,4410,10533,3419,9122,11855,-716,-317,12690,10908,1020,12947,5516,9686,9296,7855,2770,10225,5772,0
83,83,19812,20597,16868,20241,19158,15556,20404,22917,16839,17409,14305,15924,21724,20470,11833,18226,16962,11768,18901,14840,14700,11525,14769,0
84,84,447,887,1446,-8831,-2291,-4999,-2868,-5458,1731,-883,-1805,1941,-4377,555,-4159,-1321,-7244,-6201,-8078,2624,-7827,481,2539,0
85,85,1131,10195,8797,4074,4281,7830,2228,11174,3612,13469,-123,12017,10270,9503,7353,1606,2688,3818,12203,2538,2565,7392,6077,0
86,86,16593,1665,8655,4059,4287,9954,2310,12506,12101,1799,8647,11915,826,11981,3192,9823,9373,8875,3111,12760,1967,4678,8821,0
87,87,8304,10570,8356,8566,9468,6587,5085,2990,2175,6769,4142,3188,2637,9968,2283,9848,4734,1099,-33,10746,2438,4088,629,0
88,88,6071,1553,10094,8678,8044,10074,5430,4548,1885,-2973,5446,10086,6217,10028,1744,10561,6573,10776,10738,3251,18360,600,4334,0
89,89,824,7529,-1624,1687,185,7303,2904,2065,7001,2615,5046,1562,-2754,7610,2385,6808,88,64,6226,8263,7141,741,-2581,0
90,90,-2104,-1150,-4128,-746,-8760,9217,-5111,-1394,-176,564,-4483,-3866,343,5321,-5218,-9780,6148,-5123,1053,-299,-8144,6455,-4029,0
91,91,10560,3781,12683,11019,-559,11585,10749,4405,7603,7591,9521,11280,4410,4342,8636,9389,7064,8193,8248,7261,10010,6280,7712,1
92,92,8896,1561,2473,2875,1172,6059,966,-673,5437,1275,-1212,3674,4086,-5116,8735,5895,-4046,12014,-1273,-1259,6922,436,7736,1
93,93,-5530,7099,-2310,-8021,5873,-2807,-10657,10143,-9786,1775,1710,-3370,-7474,-8068,-2485,12236,-12285,8592,-4107,-797,1477,-9365,-96,1
94,94,-1918,7265,-2240,1187,-3548,7023,187,656,620,64,1252,1028,4396,127,-1560,3451,-4614,-2855,4958,1209,3195,1523,1561,0
95,95,876,-8414,-2199,-3252,-7824,-21,-1841,-2630,-6211,-7979,-3954,-3251,-1399,-500,-12693,-1396,2721,-8007,28,-4191,-5035,-3579,-8796,1
96,96,-3110,-228,3533,-5196,-4998,3973,-1155,-1981,-141,3880,-3433,-611,-5391,2645,-964,-1610,-2028,-4182,1033,3176,-2298,-1109,-2367,0
97,97,-10858,-11279,-9496,-10814,-13086,-9821,-9599,-13276,-11312,-8828,-11977,-10418,-14426,-6672,-12176,-10598,-11097,-11538,-9832,-10613,-10057,-13579,-7749,0
98,98,478,4976,-73,1955,2181,1814,3629,1646,1358,3329,-778,2109,2776,1960,3376,1676,1203,2431,1780,743,3963,696,1548,0
99,99,-4095,-4312,2773,-3533,-929,-4155,3959,1583,-5347,-6914,2619,-583,1811,-5960,-402,-1275,-25,-908,-2958,-3505,392,-5284,1631,0
100,100,585,-1645,1324,-3004,-149,-3795,2136,-1356,-122,132,-1477,52,-575,1018,566,-583,-255,-7365,64,841,1458,-1464,-2668,0
101,101,652,-5773,446,-1191,-1820,-2003,-539,-272,-2376,-3492,124,4164,-4802,-1849,-4208,773,-448,-1662,-1384,-846,-3036,-1075,-1362,0
102,102,-5012,-399,-3352,-2117,-7799,-878,905,-1897,-5026,-2454,-1686,-5271,-2577,-4159,-1295,-4069,-2665,-1904,-2911,-3800,-660,-4059,-4071,0
103,103,-5071,-2181,153,-8135,-2548,-3861,-5694,-3789,-43,1360,-10125,47,-4750,-1261,-6037,-2320,-3728,-4110,-2019,-4708,-2406,-2130,-3608,0
104,104,-1531,-2095,2219,-1273,-1790,-518,-2344,33,-94,1169,-2267,-1444,1270,-3391,-5212,3293,2302,-3101,2035,-2337,-4827,666,1392,0
105,105,-926,648,4163,-3574,1494,-549,2254,-1245,3780,5384,-3022,2157,57,2219,-1346,980,1870,1636,3855,1854,-2284,3086,-911,0
106,106,-5011,-6323,-6946,-4091,-6021,-5590,-7446,-4687,-6007,-4803,-5415,-6591,-5727,-4900,-8440,-4561,-2882,-7458,-4757,-6797,-5389,-6805,-5277,0
107,107,-3180,1580,13167,-1314,5635,9813,9205,-5436,7254,7497,11456,4443,-5744,5480,5471,12209,-879,9361,5139,12712,7688,-4994,11758,1
108,108,-5247,3053,1115,-3559,-284,-5525,1824,-2198,-3943,-580,2029,-2287,-2797,-2178,-3413,3543,-3426,-1165,4807,-7250,-2173,898,-1544,0
109,109,-7269,-6186,-1901,-6728,-5641,-3093,-8429,-5835,-1990,-5287,-5155,-6662,-4234,-5944,-2302,-5602,-5472,-4926,-4377,-6573,-7493,-3476,-4677,0
110,110,-1695,-2127,-5080,1139,-304,-2910,-3878,-2209,-485,-6742,40,-1560,-1822,-3223,-1822,-3487,-97,-2648,-849,-6327,281,-2787,-2110,0
111,111,5700,3865,4294,6014,6851,996,9792,3657,3308,4746,4020,8163,781,9909,806,2987,7079,6129,6648,4612,1261,5772,6881,0
112,112,3389,2492,4689,-2608,856,1011,4140,3241,-1304,-1194,5271,-3784,6564,3134,2117,-2761,3448,2496,-395,4898,-1338,1206,2206,0
113,113,-1649,219,-1043,-1483,-4343,6066,1054,-4198,-1386,-296,-1072,-1548,1006,-2422,-3532,1527,-3678,-9132,3705,3206,3442,-644,1671,1
114,114,-119,-1395,-4407,1209,1460,-945,-3388,-1794,-518,-5492,1828,-350,-1074,-3125,-457,-2342,389,-242,-368,-4399,1295,-673,-2235,0
115,115,147,-4280,416,-76,-1796,-1502,-2084,-220,-1369,-2645,-1059,-746,-1472,-1868,-43,-2888,-1606,108,-2102,-1227,75,-2790,-1604,0
116,116,-1491,-2512,-1,-5675,1474,-2073,-3056,-1711,-616,-2312,-1845,-1554,-158,-3960,-1575,-365,-1125,-5131,-117,-2235,-565,-1969,-2316,0
117,117,-11890,-14334,-13644,-12173,-13992,-13197,-13145,-14228,-13151,-12941,-13921,-12297,-14255,-13720,-12368,-12312,-14272,-16648,-10609,-13139,-14188,-12452,-13807,0
118,118,6419,3395,492,-6546,-749,-1669,-6285,3775,-7910,6330,-5500,-3150,4027,-10516,200,-3117,-3623,13275,-9416,1224,6407,-8676,-373,1
119,119,-2891,2496,-3561,-1113,-1227,-1443,495,-34,-3668,-159,-52,-384,-854,-2836,-900,-1835,-643,1216,-2536,-1443,1183,-2926,-43,1
120,120,-6904,-4767,-7666,-4156,-4484,-6845,-6121,-6804,-3354,-7458,-5080,-4582,-7321,-5244,-5423,-4392,-8300,-2931,-4483,-8748,-6741,-3539,-5392,0
121,121,1324,-1253,498,-325,1376,-80,2829,2687,-1762,-2595,4018,-1555,1340,-1079,3475,-447,1130,-1222,-1769,3220,-2884,2345,1297,1
122,122,1657,4902,-1356,-8303,-1641,-6734,-767,7199,-15147,3826,-2375,-3467,926,-3379,-12408,-3169,7114,-7725,5116,-10565,3360,-208,-929,1
123,123,3679,740,-4052,1747,819,950,7077,-5843,3271,-9,1243,4726,-622,1287,3316,-2011,2080,189,1655,-439,1301,3747,197,0
124,124,-1959,-4160,4248,-4851,1721,258,392,-2549,-322,-713,-875,776,-1510,-830,-1320,-1070,-1442,1346,1425,-6737,2653,928,-1873,0
125,125,3823,2969,2430,7746,4640,3150,3497,3488,3936,4582,3529,3375,4330,3793,3285,3451,3819,7048,11131,-756,1802,5510,4469,0
126,126,-426,-943,-498,-4037,-5469,-4266,527,1642,-5258,-3416,1795,-3417,-8109,-3102,-6251,5906,-13843,7976,-12996,-1681,616,-7203,344,1
127,127,6291,3115,6540,5040,5319,4775,5208,5897,4357,4306,5545,5422,5387,4340,6369,4192,5094,5953,4154,5346,6259,4103,4932,0
128,128,5337,815,5547,4833,3407,3291,3390,4769,3253,2312,4994,3725,2878,3119,5217,1623,4239,5587,3081,3266,6027,2041,2687,0
129,129,-1902,-1227,2878,-2052,2176,-3858,-2036,-3498,724,-1148,1053,635,-3398,-4525,5323,-833,-3879,1541,-2060,33,1369,-4133,307,0
130,130,-1239,-1240,-729,-198,-4146,10,407,-5146,-657,-542,-1006,-1969,-3618,1554,-1703,-972,-1686,-2932,565,-1267,-327,-2972,-160,0
131,131,-4764,-3168,-5437,-3421,-8731,-5758,-1764,-5871,-7973,-10939,-6861,200,-8217,-5668,-9183,-4125,-4707,-7681,-7120,-3161,-6974,-8448,-6771,1
132,132,-9279,-7870,-9232,-11368,-11568,-4777,-9295,-8741,-11003,-8419,-6720,-8416,-8228,-11386,-10360,-4875,-12056,-9292,-8157,-8178,-9710,-11521,-4982,0
133,133,-12529,-3996,-1160,-10537,-7237,-7738,-9463,611,-3162,-5779,-6140,-7058,-2218,-8409,-5876,-2898,-5830,-8918,-3633,-5517,-4992,-11660,-2494,1
134,134,-5172,-1680,-7797,-5495,-7164,-2773,-4437,-3245,-9141,-4262,-2409,-4114,-6956,-3746,-4819,-3729,-8961,-6745,-5542,-2642,-7159,-4470,-2233,0
135,135,1016,2120,198,2357,1724,2024,893,1664,1059,2227,-1778,2591,5491,-592,26,2088,4310,-258,1083,2699,-960,-832,5916,0
136,136,-8568,660,-4133,-3269,-7793,-4391,-493,3590,-9594,-1896,-2286,-2596,-9087,-427,-9378,4044,-16700,7668,-13724,-4529,2728,-11860,1966,1
137,137,-14063,-3509,-6651,-6792,-12815,-3108,-3639,-6255,-10787,-7796,-7985,-6669,-7804,-6653,-9528,-7637,-6466,-7944,-7041,-5227,-6927,-9061,-6172,0
138,138,-5914,-5462,-7553,-1995,-5034,-6617,-3256,-5048,-6277,-3777,-5602,-6772,-2769,-6043,-5066,-8065,-3278,-1883,-2885,-5465,-10484,-1982,-5455,0
139,139,9917,8250,13490,7172,9587,10389,7043,11582,8200,14168,7593,7486,11374,10807,8975,8683,11483,9391,11111,8146,9674,10478,8054,0
140,140,-2201,3133,866,-1925,-3608,-3546,262,-6291,3246,215,-5411,1656,3593,481,-3685,-2173,3598,58,-5105,5441,3129,-5350,-2048,1
141,141,-1733,361,1608,-2643,660,-2718,-2389,1050,-174,215,-1935,-1974,-1864,-1540,124,-948,-1226,-785,-3678,2140,-1204,-451,-1634,0
142,142,808,3690,-51,714,2999,5065,4143,-3511,7291,-1248,4119,-154,1270,3817,2817,765,3501,326,2274,5314,3155,-1437,3934,0
143,143,4856,-2935,7503,15,2569,3461,1710,1100,5712,-722,5930,1630,3243,-648,2763,2054,5716,1483,1580,2753,1231,4913,1201,0
144,144,-3109,1272,-2664,4320,-350,-1746,1919,846,-1968,1504,-247,-2954,3989,-1439,464,-3250,517,2918,2165,1187,-6494,3354,-1422,0
145,145,-6644,-9924,-5950,-12941,-5427,-6388,-7833,-9240,-9126,-5968,-10140,-7974,-6553,-11128,-6545,-5152,-11037,-9215,-5935,-6855,-10846,-9286,-3161,0
146,146,2544,6942,5297,5667,357,8216,8052,5332,3590,5632,4277,4359,5034,4092,5868,4882,4519,6280,4190,5552,7307,2850,4517,0
147,147,-7448,-10005,-11024,-9212,-7345,-7778,-5637,-14371,-5546,-10219,-9841,-6495,-4662,-12797,-9599,-10746,-7203,-8555,-7698,-9812,-10642,-8722,-9644,0
148,148,-1656,1410,3077,5038,-2862,-1078,-454,1999,-658,-148,7212,-1529,1272,-1284,2231,926,115,2405,2101,-1280,3002,271,-674,0
149,149,-5995,-7295,-5349,-5448,-3420,-12118,-8801,-4631,-8539,-4809,-7610,-9492,-1068,-10937,-5567,-6036,-6981,-7999,-7334,-5498,-7777,-4909,-9146,0
150,150,5733,63,6541,3647,2048,5456,4013,5694,3117,1213,5470,8720,1593,3757,1622,6108,5376,2410,3448,5204,4661,1296,6512,0
151,151,9365,-1232,-1344,-1842,1641,6857,-2295,-1815,-300,4793,-128,454,2812,948,2336,-798,-2935,658,3958,-138,3534,962,502,0
152,152,3088,5316,1837,2811,1829,7030,1072,3594,3910,3751,7201,-64,5209,2729,3712,3176,2386,4360,3992,3664,5056,681,6780,1
153,153,9658,9195,9457,11820,9164,8961,11033,10591,10441,9983,7394,12890,12233,9645,9681,9862,11178,8826,8323,10718,8558,12811,8830,0
154,154,2623,8391,4615,1277,4642,5004,5805,6153,2738,4992,1971,7363,2033,6888,1599,6815,3864,4010,6569,4321,6209,1880,5297,0
155,155,983,-1839,-2984,-300,-283,-3940,324,111,-1348,2225,-2837,-3349,-1333,455,-497,-4006,-1348,-1497,-2613,529,-873,2801,-1902,0
156,156,-8791,-7770,-12930,-9392,-7895,-9193,-6783,-14246,-8189,-9504,-7439,-9587,-8481,-11515,-9140,-8879,-10378,-6771,-9042,-11741,-10860,-7171,-9755,1
157,157,-12785,-13370,-14937,-13412,-12149,-16087,-12159,-12749,-14308,-12690,-14607,-12760,-14250,-15333,-11587,-12747,-15871,-13014,-11725,-16126,-11448,-13120,-13856,0
158,158,-10267,-9358,-6178,-10511,-12259,-6587,-7759,-9666,-12269,-8345,-9100,-7919,-10828,-7245,-8529,-11074,-7827,-8951,-9530,-10431,-7506,-8813,-10553,0
159,159,-10602,-8490,-9844,-10610,-7476,-9938,-9389,-8342,-7629,-8764,-9934,-10530,-8174,-10269,-9299,-7532,-9714,-8150,-10192,-8340,-9839,-9827,-8744,0
160,160,3044,7214,4157,5168,5909,4389,4694,6599,4087,5132,4224,6783,4534,3999,4348,6235,4529,6471,3305,5086,4641,5801,5697,0
161,161,-894,-862,1759,-1309,1258,-2261,866,-623,-5718,1338,2479,-5461,6909,-8326,1403,-1946,-6982,-119,3274,1291,-2797,5063,-1771,0
162,162,4668,-2422,9376,-5438,1635,2745,-9441,16115,-12121,9791,-3139,2990,7638,-3907,1151,1612,-1411,1486,6574,-5567,-5645,13322,-3041,0
163,163,-7389,-7233,-11896,-5593,-6482,-3394,-1394,-19828,-3907,-4424,-6955,-4972,-4941,-12259,-9714,-5633,-140,-4650,-11950,-15991,-2943,-4138,357,1
164,164,5398,-1348,940,134,3371,-29,846,-113,4509,-469,3928,-2514,-2276,2140,2825,-99,4644,704,-1022,3599,629,-4016,3277,0
165,165,7214,28837,-14976,-14903,1854,-33115,-5542,-16316,-3323,-11879,29642,27124,11360,-2403,-28455,-9095,-2738,-3901,12280,-18258,-34422,20526,-25515,0
166,166,-8458,-7308,-7294,-10042,-9988,-6925,-10904,-10527,-7153,-9961,-6344,-11170,-11438,-6763,-11369,-7390,-9476,-8614,-10664,-7409,-9592,-9470,-10035,0
167,167,828,-1922,1471,79,300,-578,11,740,-275,-969,642,199,409,-760,1044,-707,303,866,-1198,263,1161,-865,412,0
168,168,-7845,15172,-4686,-1874,-5608,-12817,-15537,4765,781,4674,11475,15976,8175,-645,-12623,-6987,-3346,-7232,-3738,-24793,-18093,-2967,-19838,0
169,169,-5011,-3151,-9184,-4842,-6532,-5597,-3888,-5889,-9906,-5516,-3042,-8448,-5728,-10224,-2388,-9229,-5619,-1978,-8854,-6065,-1340,-8526,-4353,1
