number,address,length1,weight1,count1,looped1,neighbors1,income1,length2,weight2,count2,looped2,neighbors2,income2,length3,weight3,count3,looped3,neighbors3,income3,label
85,1Bet5o5o23jaRB9kKNxqZ5KeBqoSm5Fh56,0,1.0,1,0,2,750000000.0,40,15.4678201989806,194,194,87,4481000000.0,144,31.2616265141776,2226,2003,228,13388667759.0,0
86,1AiUTZmANCY64iDzyfmRPGDYES2F5NEByA,0,1.0,1,0,2,40000000.0,144,0.0406122685185393,1122,0,2,80000000.0,4,0.25,1,0,2,90000000.0,0
87,1JKhEeR4J6TsN56iCH7AFBsSqSYyKeUz2z,0,1.0,1,0,1,83294810.0,0,1.0,1,0,1,205530000.0,42,0.820320129394531,6,0,1,186290000.0,0
88,1AyCyitDmYFetDEy6jqGAyRq4t9ooNgYjH,0,0.0454545454545455,1,0,1,100000000.0,2,0.032258064516129,1,0,1,100000000.0,0,0.0909090909090909,1,0,1,100000000.0,0
89,1APNqGMmXSwtq6D88SNP17np7uiEx61hmq,4,0.0693708024036762,18,0,1,35000000.0,4,0.0027085590465872,23,0,1,36000000.0,0,0.0263157894736842,1,0,1,35969874.0,0
90,17hqLQsoC76Sq2FSGBMUMeRThRvAh8KzqU,0,0.5,1,0,2,1000000000.0,0,0.5,1,0,2,1000000000.0,0,1.0,2,0,4,2000000000.0,0
91,129TBGmoTcnPTrof47DQELfVp5XVQwG4ME,4,0.125,1,0,2,1498000000.0,2,0.25,1,0,2,1398000000.0,48,2.98023223876953e-08,1,0,2,198000000.0,0
92,16CLdHcoSN3aipVXL8HGpM7bayxpv3gNDQ,18,0.126736111111111,10,0,1,100000000.0,16,0.0004734848484848,1,0,1,100000000.0,14,2.11979166666667,3,3,4,861700000.0,0
93,1LniEDQLAvkSX4xD7QFgExZDTtQe7r6n7u,144,2.63861246954812,5768,5768,23,4012689900.0,126,1.01336504864539,5889,0,2,2084519577.0,0,3.0,3,0,4,4006000000.0,0
94,17JQQG6p6bAXg9G6Xc1Q4ymk3FyGZYSq38,2,0.25,1,0,1,4950000000.0,4,0.125,1,0,1,5000000000.0,10,0.015625,1,0,1,5000000000.0,0
95,1751c8vGy6eHy8dMnBs5MHaPKbidT6X1sJ,10,3.96825396825397e-06,2,0,2,78708085.0,10,5.05050505050505e-06,1,0,2,142316198.0,18,2.55681818181818e-07,2,2,3,279445666.0,0
96,17HGuiSJfufGyBR4LvEFXXKMH4zkvRRLoT,144,1.04534521567078,3036,3036,6,699970000.0,144,6.63797772985752e-11,1723,0,1,900000000.0,144,0.499196097537001,924,405,6,1200000000.0,0
97,1CiCuqGYk5K6yJMbNx7vyhX5rja4WCCEkX,0,1.0,1,0,2,73590000.0,12,1.640625,4,1,10,709530000.0,10,1.46875,6,1,16,1233600000.0,0
98,1AcYUk1hQziQwMJDGHEMaRTAjjpqGCS9c,32,2.12510850694444,5,0,10,175450000.0,2,0.5,1,0,2,160000000.0,10,0.025,1,0,1,74000000.0,1
99,1FQ8Nu9hpXZR57AM5BuioJGw4xVTubuVbU,2,0.0007598784194528,1,0,2,89194339.0,2,0.0005249343832021,1,0,2,84337638.0,2,0.000903342366757,1,0,2,65791005.0,0
100,3C2k6Qar87J6eze7LBXwqWwbyyxKZYpqso,0,1.0,1,0,1,5883362704.0,0,2.0,2,0,2,10825829506.0,0,1.0,1,0,1,5865769519.0,0
101,1HzpjnwXikfFecpk5Y5whZG71g6Krep3z8,144,0.0129057561695298,9533,0,2,2500000000.0,2,0.545454545454546,6,0,2,2000000000.0,144,3.88226485295475,4872,4872,2,2000000000.0,0
102,1MDNC2f7PnxNXaDqwgyxd1fige8j7kX6W1,0,1.0,1,0,1,31620000.0,114,2.21583944134871,1282,1,4,189610000.0,144,1.85704921108885,1040,1040,3,296100000.0,0
103,1HrHPDWXttjA8nFUpEoMqRd2yMKrZzK1PY,144,0.803782287752436,1524,0,1,891878000.0,86,1.26318708579573e-14,1,0,1,234797000.0,20,1.68723007835263,65,0,3,2417946000.0,0
104,1FBUKVtedhXnyLcDGHD43QdgveJDWb5RQo,30,0.0416666666666667,1,0,2,104668103.0,144,0.0054708858456982,3108,0,2,30362835.0,144,0.0273878205128205,398,0,2,40516526.0,0
105,3LHDmVRQiR2yetXaoyfQ6HHE3m9d92aBGX,144,2.75,5175,0,2,1000000000.0,144,0.971726480505153,4050,3,6,440921400.0,2,0.25,1,0,2,300000000.0,0
106,17caHovw4jyUmFK1uXngi7T9LMc9JQgW58,144,3.4588366993967,2026,7,3,2099890000.0,144,1.01010441000323,2213,0,1,522670000.0,144,1.34831428886807,2000,4,1,1170000000.0,0
107,16Ki1njuGAHf5w8fEjJWgPEj9Xjz6DTEmf,144,0.0406118390560749,2985,0,1,35962167.0,0,1.0,1,0,2,41284049.0,144,0.0335113474982107,2317,0,2,69243358.0,0
108,14uF5FJfjW7PwKxNo6nF3tRMBj3ATifw6y,4,0.0119047619047619,1,0,1,100000000.0,6,0.0014619883040935,1,0,1,100000000.0,0,0.0714285714285714,1,0,1,100000000.0,0
109,13JPwv47Dm6qV4jpDYLkzrPR5UP7BCJhDX,0,0.5,1,0,1,77943221.0,0,0.5,1,0,2,6601357236.0,4,0.15625,1,1,3,2402514472.0,0
110,12B9xCGjSGmn6JA17bqnGK9ENeBBCfmJ2p,0,0.032258064516129,1,0,1,50638811.0,2,0.0014880952380952,1,0,1,51351210.0,2,0.0505050505050505,5,0,1,51239301.0,0
111,1K5YN8dmoY6tMQw5cAfBUeGHuvt6wa1Sjg,2,0.25,1,0,1,141249412.0,0,2.0,3,0,3,986981807.0,114,2.33638758124529,45,45,5,4585452232.0,0
112,17AEJjMmaLiENVo9jsvSsVd2qL9V9F99Uq,2,0.0099673202614379,31,0,1,35000000.0,2,0.0239400584795322,70,0,1,47000000.0,2,0.0105932203389831,18,0,1,35000000.0,0
113,1ESbt2BYva5yUunkVT5EtMJG22stpqWrtm,10,0.125,1,0,1,120000000.0,20,0.03125,1,0,1,123000000.0,14,0.015625,1,0,1,179000000.0,0
114,1G96GCyk8bEYBAY3ZuChfH2zWievfeEyPp,18,0.125,1,0,2,1165000000.0,4,0.0168269230769231,5,0,2,209549900.0,142,0.125500083183549,3479,0,2,47673205.0,0
115,1EHdEh81fekArtBFiH2eLwZD1cne9RskfD,4,2.35204081632653,20,17,4,76431000000.0,0,1.0,1,0,1,530000000.0,2,0.25,4,0,1,501000000.0,0
116,113NTtc9uHmMQBbEcwmfEyEmQfkwBdfnui,144,1.78893494066733,1003,1003,12,3897852296.0,8,1.30625,7,0,4,1700330000.0,144,2.50809536505939,2328,2328,18,2154125000.0,0
117,1DCojoFT6t7VLjvsXq6LniHBZkMLjXqB43,0,0.5,1,0,1,100000000.0,0,0.5,1,0,2,200000000.0,0,0.5,1,0,2,80000000.0,0
118,1CKdaWGQHynYs6z1gQxKfr3sfn91VDpRPa,2,1.0,1,0,1,10000000000.0,66,1.86372237401843,95,0,1,4000000000.0,0,0.5,1,0,1,11000000000.0,0
119,1E5XKaPKyF7FTHSihe1jxUcts1HNXHML6J,6,0.0625,1,0,1,600000000.0,8,0.0359025032938076,64,0,2,300000000.0,4,0.75,2,0,1,700000000.0,0
120,15ZW569tQaGi14F9D1XhvUPKgCy5LSb4Zu,2,0.0109953703703704,40,0,1,120000000.0,2,0.0218800648298217,65,0,1,100000000.0,2,0.0150162337662338,19,0,2,101000000.0,0
121,146s1bXwsDUX1QxfcTuuVmTfexA7ZXuNgJ,144,0.708430704740048,244,3,4,179359279.0,144,0.170634932693877,437,326,6,1169607212.0,144,0.0625800367890519,323,251,5,1612705150.0,0
122,1Cd3fY8En2iWhzxVnbJGz49ZqcDpsA4vYT,122,4.65661287307739e-10,1,0,1,132505057.0,8,0.0625,1,0,1,54217810.0,16,0.000801282051282,1,0,2,89136882.0,0
123,1BKn8oA2cwFQgrcQL6MoK9ANp3ya92AY2B,0,1.0,1,0,2,1753120000.0,4,3.25,5,0,8,12882640000.0,2,2.5,2,2,4,6453270000.0,0
124,13JxG74PqFdPRihxdvwWoZKNtiYYm7HVXt,0,1.0,1,0,2,460000000.0,0,1.0,1,0,2,1598000000.0,0,1.0,1,0,2,1152000000.0,0
125,16ktpEUbXSY27PFk8MiJwSq5eTYovdwP3Z,144,1.0675923949647,7883,7842,1,209950000.0,144,0.0019367889211235,1716,0,2,299950000.0,144,0.0004030509304477,8131,0,2,259950000.0,0
126,19TP48BGxgnQWLtJJHVR4PuN54PvPcqumn,4,0.0021929824561403,1,0,2,91739676.0,4,0.0010593220338983,1,0,2,106958787.0,4,0.001008064516129,1,0,2,106904333.0,0
127,3Ns8uHeXJXNRT8ZSCJB5DxjhGetsXku379,144,0.0076760284953222,5251,0,2,42300000.0,144,0.0049047796887061,6090,0,2,41732454.0,4,0.504217883827428,7,0,2,148618539.0,0
128,152XZrM7pYyexhbHT6ndwE1eAFqJYoWYa2,2,0.5,1,0,2,50100000.0,100,0.0001220703125,1,0,2,100000000.0,0,1.0,1,0,2,55000000.0,0
129,1LeVXmaxJ3RawczTY1MfvHN1h1qtZwRL8h,2,0.75,1,1,2,250275798.0,0,1.0,1,0,1,153170000.0,0,2.0,2,0,2,150914106.0,0
130,1GhwmLeDCHJYJBw9SbkQkT7j2k5Fazpufc,8,0.0222222222222222,1,0,2,125084144.0,4,0.0083333333333333,1,0,2,104038584.0,4,0.010752688172043,1,0,1,56636959.0,0
131,1MsvMC7AtoXnNcivxUoQewbeT3REiKS9tZ,6,0.125,1,0,2,1000000000.0,144,0.0001356686134183,950,942,3,1773533461.0,0,1.0,1,0,1,42992235.0,0
132,169iA76RmnatFXmEthT6AEehxMQ9X1ro3L,0,1.0,1,0,1,98864736.0,0,0.5,1,0,1,196874788.0,0,1.0,1,0,1,875142030.0,0
133,1CBnQsNd3svnUEdCM1DSNvVRxLxw4r4mxN,0,0.5,1,0,1,111000000.0,44,2.45009950932151e-10,1,0,2,38109650.0,36,6.697959533607681e-09,1,0,2,45801280.0,0
134,39Gd6GmLo3vz6WZkCgWqzR6hd1CzP4bwsJ,0,1.0,1,0,2,30000000.0,24,1.01875,4,0,4,75425385.0,0,1.0,1,0,2,39300000.0,0
135,126shqeLCEX6jJUBMGEoivNQZBHKTSNGpZ,2,0.5,1,0,2,2301540000.0,4,1.0,2,0,2,2090000000.0,2,0.5,1,0,1,662000000.0,0
136,1DLLGe27t4AHvvXTTnDdtEwSF2HCXUutTP,144,0.442842595652321,1518,14,4,94385952.0,74,0.0833815865501401,13,0,2,31066604.0,144,2.29543374768544,1222,0,3,179879151.0,0
